,PersonID,FullName,PreferredName,SearchName,IsPermittedToLogon,LogonName,IsExternalLogonProvider,HashedPassword,IsSystemUser,IsEmployee,IsSalesperson,UserPreferences,PhoneNumber,FaxNumber,EmailAddress,Photo,CustomFields,OtherLanguages,LastEditedBy,ValidFrom,ValidTo
12,13,Hudson Hollinworth,Hudson,Hudson Hudson Hollinworth,True,hudsonh@wideworldimporters.com,False,0x4AC0A24180C54F425AC88CA33B62136A37B6AAA1943BEA14FC34E228ECCC35C4,True,True,True,"{""theme"":""black-tie"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,hudsonh@wideworldimporters.com,,"{ ""OtherLanguages"": [""Croatian""] ,""HireDate"":""2010-11-27T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""New England"",""CommissionRate"":""0.24""}","[""Croatian""]",1,2016-05-31 23:14:00,
13,14,Lily Code,Lily,Lily Lily Code,True,lilyc@wideworldimporters.com,False,0xD00658893B3F96277088B3C71DCFBF4DF6E3947EEDBF0C8DA285EFD5C7D4BADD,True,True,True,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,lilyc@wideworldimporters.com,,"{ ""OtherLanguages"": [""Finnish"",""Bulgarian""] ,""HireDate"":""2010-06-06T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Southeast"",""CommissionRate"":""3.98""}","[""Finnish"",""Bulgarian""]",1,2016-05-31 23:14:00,
14,15,Taj Shand,Taj,Taj Taj Shand,True,tajs@wideworldimporters.com,False,0x9AEFEEC0DBB0EA6B25F0EB99C62C724F18428D45799DCD8A7B63B859B0F8FCB4,True,True,True,"{""theme"":""blitzer"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,tajs@wideworldimporters.com,,"{ ""OtherLanguages"": [""Arabic"",""Greek""] ,""HireDate"":""2009-03-14T00:00:00"",""Title"":""Manager"",""PrimarySalesTerritory"":""Far West"",""CommissionRate"":""2.29""}","[""Arabic"",""Greek""]",1,2016-05-31 23:14:00,
15,16,Archer Lamble,Archer,Archer Archer Lamble,False,archerl@wideworldimporters.com,False,0x06187F68631295411B022C48B07338F20F4C5C73B31DB67C056C0AE07B8F6EF6,True,True,True,"{""theme"":""humanity"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,archerl@wideworldimporters.com,,"{ ""OtherLanguages"": [""Greek""] ,""HireDate"":""2009-05-13T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Plains"",""CommissionRate"":""1.88""}","[""Greek""]",1,2016-05-31 23:14:00,
16,17,Piper Koch,Piper,Piper Piper Koch,True,piperk@wideworldimporters.com,False,0x61D8D0828E55E8895E216B88FE98CBA6B5940992279D74992AAA2563F4E66715,True,True,False,"{""theme"":""dark-hive"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,piperk@wideworldimporters.com,,"{ ""OtherLanguages"": [""Romanian"",""Portuguese""] ,""HireDate"":""2011-10-15T00:00:00"",""Title"":""Manager""}","[""Romanian"",""Portuguese""]",1,2016-05-31 23:14:00,
17,18,Katie Darwin,Katie,Katie Katie Darwin,True,katied@wideworldimporters.com,False,0x47AD2C4A1C611756FB164DE988C259E7E516DD48AF9C3421DD0FE95B3F1E3F2B,True,True,False,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,katied@wideworldimporters.com,,"{ ""OtherLanguages"": [""Estonian"",""Romanian""] ,""HireDate"":""2008-07-12T00:00:00"",""Title"":""Team Member""}","[""Estonian"",""Romanian""]",1,2016-05-31 23:14:00,
18,19,Jai Shand,Jai,Jai Jai Shand,True,jais@wideworldimporters.com,False,0x84901D360414CD9127E1B83A9F9E7C6B940AA8BD888699388C9FA465DBD297DA,True,True,False,"{""theme"":""le-frog"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,jais@wideworldimporters.com,,"{ ""OtherLanguages"": [""Finnish"",""Dutch""] ,""HireDate"":""2011-11-13T00:00:00"",""Title"":""Team Member""}","[""Finnish"",""Dutch""]",1,2016-05-31 23:14:00,
19,20,Jack Potter,Jack,Jack Jack Potter,True,jackp@wideworldimporters.com,False,0x8024E8041C1F5BD98FE46983F98C2F5E53E2CD75BF4A6EF6AC13A299F10F714A,True,True,True,"{""theme"":""black-tie"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0102,(415) 555-0103,jackp@wideworldimporters.com,,"{ ""OtherLanguages"": [""Arabic""] ,""HireDate"":""2009-05-29T00:00:00"",""Title"":""General Manager"",""PrimarySalesTerritory"":""Southeast"",""CommissionRate"":""3.97""}","[""Arabic""]",1,2016-05-31 23:14:00,
20,21,Reio Kabin,Reio,Reio Reio Kabin,False,NO LOGON,False,,False,False,False,"{""theme"":""ui-darkness"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(847) 555-0100,(847) 555-0101,reio@adatum.com,,,,1,2016-05-31 23:14:00,
21,22,Oliver Kivi,Olly,Olly Oliver Kivi,False,NO LOGON,False,,False,False,False,"{""theme"":""blitzer"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(847) 555-0100,(847) 555-0101,olly@adatum.com,,,,1,2016-05-31 23:14:00,
22,23,Hanna Mihhailov,Hanna,Hanna Hanna Mihhailov,False,NO LOGON,False,,False,False,False,"{""theme"":""humanity"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(360) 555-0100,(360) 555-0101,hannam@contoso.com,,,,1,2016-05-31 23:14:00,
23,24,Paulus Lippmaa,Paulus,Paulus Paulus Lippmaa,False,NO LOGON,False,,False,False,False,"{""theme"":""dark-hive"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(360) 555-0100,(360) 555-0101,paulusl@contoso.com,,,,1,2016-05-31 23:14:00,
24,25,Kerstin Parn,Kerstin,Kerstin Kerstin Parn,False,NO LOGON,False,,False,False,False,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0100,(415) 555-0101,kerstin@consolidatedmessenger.com,,,,1,2016-05-31 23:14:00,
25,26,Helen Ahven,Helen,Helen Helen Ahven,False,NO LOGON,False,,False,False,False,"{""theme"":""le-frog"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0100,(415) 555-0101,helen@consolidatedmessenger.com,,,,1,2016-05-31 23:14:00,
26,27,Bill Lawson,Bill,Bill Bill Lawson,False,NO LOGON,False,,True,False,False,"{""theme"":""black-tie"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(203) 555-0107,(203) 555-0107,billl@fabrikam.com,,,,1,2016-05-31 23:14:00,
27,28,Helen Moore,Helen,Helen Helen Moore,False,NO LOGON,False,,True,False,False,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(203) 555-0104,(203) 555-0107,helenm@fabrikam.com,,,,1,2016-05-31 23:14:00,
28,29,Penny Buck,Penny,Penny Penny Buck,False,NO LOGON,False,,True,False,False,"{""theme"":""blitzer"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(406) 555-0107,(406) 555-0109,pennyb@graphicdesigninstitute.com,,,,1,2016-05-31 23:14:00,
29,30,Donna Smith,Donna,Donna Donna Smith,False,NO LOGON,False,,True,False,False,"{""theme"":""humanity"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(406) 555-0101,(406) 555-0109,donnas@graphicdesigninstitute.com,,,,1,2016-05-31 23:14:00,
30,31,Madelaine  Cartier,Madelaine,Madelaine Madelaine  Cartier,False,NO LOGON,False,,True,False,False,"{""theme"":""dark-hive"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(423) 555-0101,(423) 555-0100,madelainec@humongousinsurance.com,,,,1,2016-05-31 23:14:00,
31,32,Annette Talon,Annette,Annette Annette Talon,False,NO LOGON,False,,True,False,False,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(423) 555-0106,(423) 555-0100,annettet@humongousinsurance.com,,,,1,2016-05-31 23:14:00,
32,33,Elias Myllari,Elias,Elias Elias Myllari,False,NO LOGON,False,,True,False,False,"{""theme"":""le-frog"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(209) 555-0101,(209) 555-0106,eliasm@litwareinc.com,,,,1,2016-05-31 23:14:00,
33,34,Vilma Niva,Vilma,Vilma Vilma Niva,False,NO LOGON,False,,True,False,False,"{""theme"":""black-tie"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(209) 555-0103,(209) 555-0106,vilman@litwareinc.com,,,,1,2016-05-31 23:14:00,
34,35,Prem Prabhu,Prem,Prem Prem Prabhu,False,NO LOGON,False,,True,False,False,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(423) 555-0102,(423) 555-0108,premp@lucernepublishing.com,,,,1,2016-05-31 23:14:00,
35,36,Sunita Jadhav,Sunita,Sunita Sunita Jadhav,False,NO LOGON,False,,True,False,False,"{""theme"":""blitzer"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(423) 555-0101,(423) 555-0108,sunitaj@lucernepublishing.com,,,,1,2016-05-31 23:14:00,
36,37,Marcos Costa,Marcos,Marcos Marcos Costa,False,NO LOGON,False,,True,False,False,"{""theme"":""humanity"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(252) 555-0106,(252) 555-0101,marcosc@nodpublishers.com,,,,1,2016-05-31 23:14:00,
37,38,Matheus Oliveira,Matheus,Matheus Matheus Oliveira,True,matheuso@nodpublishers.com,False,0x80DE4F3879785996D9754010C8E90C24C3D82BF929D5726E9A69418D772AC046,True,False,False,"{""theme"":""dark-hive"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(252) 555-0107,(252) 555-0101,matheuso@nodpublishers.com,,,,1,2016-05-31 23:14:00,
38,39,Eliza Soderberg,Eliza,Eliza Eliza Soderberg,True,elizas@northwindelectriccars.com,False,0x2787527C41F2131B0C1314FA84D727BCA95A6AF9F7F3DD5A028344E4BD5E1B87,True,False,False,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(201) 555-0101,(201) 555-0106,elizas@northwindelectriccars.com,,,,1,2016-05-31 23:14:00,
39,40,Sara Karlsson,Sara,Sara Sara Karlsson,False,NO LOGON,False,,True,False,False,"{""theme"":""le-frog"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(201) 555-0100,(201) 555-0106,sarak@northwindelectriccars.com,,,,1,2016-05-31 23:14:00,
40,41,Donald Jones,Donald,Donald Donald Jones,False,NO LOGON,False,,True,False,False,"{""theme"":""black-tie"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(605) 555-0101,(605) 555-0101,donaldj@treyresearch.net,,,,1,2016-05-31 23:14:00,
41,42,Sharon Graham,Sharon,Sharon Sharon Graham,False,NO LOGON,False,,True,False,False,"{""theme"":""ui-darkness"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full"",""pageLength"": 50},""favoritesOnDashboard"":true}",(605) 555-0106,(605) 555-0101,sharong@treyresearch.net,,,,1,2016-05-31 23:14:00,
42,43,Hai Dam,Hai,Hai Hai Dam,False,NO LOGON,False,,True,False,False,"{""theme"":""blitzer"",""dateFormat"":""DD, MM d, yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple_numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(218) 555-0101,(218) 555-0108,haid@thephone-company.com,,,,1,2016-05-31 23:14:00,
43,44,Thanh Dinh,Thanh,Thanh Thanh Dinh,False,NO LOGON,False,,True,False,False,"{""theme"":""humanity"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""simple"",""pageLength"": 10},""favoritesOnDashboard"":true}",(218) 555-0104,(218) 555-0108,thanhd@thephone-company.com,,,,1,2016-05-31 23:14:00,
44,45,Hubert Helms,Hubert,Hubert Hubert Helms,False,NO LOGON,False,,True,False,False,"{""theme"":""dark-hive"",""dateFormat"":""dd/mm/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""numbers"",""pageLength"": 10},""favoritesOnDashboard"":true}",(415) 555-0103,(415) 555-0104,huberth@woodgrovebank.com,,,,1,2016-05-31 23:14:00,
45,46,Donald Small,Donald,Donald Donald Small,False,NO LOGON,False,,True,False,False,"{""theme"":""ui-darkness"",""dateFormat"":""mm/dd/yy"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(415) 555-0105,(415) 555-0104,donalds@woodgrovebank.com,,,,1,2016-05-31 23:14:00,
46,1001,Waldemar Fisar,Waldemar,Waldemar Waldemar Fisar,True,waldemar@tailspintoys.com,False,0x6FA3340509935AD44EFACA70900F3AC49C2E06BDE77833F0D44A184080F1DF63,False,False,False,"{""theme"":""ui-darkness"",""dateFormat"":""yy-mm-dd"",""timeZone"": ""PST"",""table"":{""pagingType"":""full_numbers"",""pageLength"": 25},""favoritesOnDashboard"":true}",(308) 555-0100,(308) 555-0101,waldemar@tailspintoys.com,,,,1,2016-05-31 23:14:00,
47,1002,Laimonis Berzins,Laimonis,Laimonis Laimonis Berzins,False,NO LOGON,False,,False,False,False,,(308) 555-0100,(308) 555-0101,laimonis@tailspintoys.com,,,,1,2013-01-01 00:00:00,
48,1003,Lorena Cindric,Lorena,Lorena Lorena Cindric,False,NO LOGON,False,,False,False,False,,(406) 555-0100,(406) 555-0101,lorena@tailspintoys.com,,,,1,2013-01-01 00:00:00,
49,1004,Hung Van Groesen,Hung,Hung Hung Van Groesen,False,NO LOGON,False,,False,False,False,,(406) 555-0100,(406) 555-0101,hung@tailspintoys.com,,,,1,2013-01-01 00:00:00,
50,1005,Bhaargav Rambhatla,Bhaargav,Bhaargav Bhaargav Rambhatla,False,NO LOGON,False,,False,False,False,,(480) 555-0100,(480) 555-0101,bhaargav@tailspintoys.com,,,,1,2013-01-01 00:00:00,
51,1006,Mudar Jevtic,Mudar,Mudar Mudar Jevtic,False,NO LOGON,False,,False,False,False,,(480) 555-0100,(480) 555-0101,mudar@tailspintoys.com,,,,1,2013-01-01 00:00:00,
52,1007,Daniel Roman,Daniel,Daniel Daniel Roman,False,NO LOGON,False,,False,False,False,,(316) 555-0100,(316) 555-0101,daniel@tailspintoys.com,,,,1,2013-01-01 00:00:00,
53,1008,Leyla Radnia,Leyla,Leyla Leyla Radnia,False,NO LOGON,False,,False,False,False,,(316) 555-0100,(316) 555-0101,leyla@tailspintoys.com,,,,1,2013-01-01 00:00:00,
54,1009,Johanna Huiting,Johanna,Johanna Johanna Huiting,False,NO LOGON,False,,False,False,False,,(212) 555-0100,(212) 555-0101,johanna@tailspintoys.com,,,,1,2013-01-01 00:00:00,
55,1010,Robert Ruutli,Robert,Robert Robert Ruutli,False,NO LOGON,False,,False,False,False,,(212) 555-0100,(212) 555-0101,robert@tailspintoys.com,,,,1,2013-01-01 00:00:00,
56,1011,Biswajeet Thakur,Biswajeet,Biswajeet Biswajeet Thakur,False,NO LOGON,False,,False,False,False,,(701) 555-0100,(701) 555-0101,biswajeet@tailspintoys.com,,,,1,2013-01-01 00:00:00,
57,1012,Radha Shah,Radha,Radha Radha Shah,False,NO LOGON,False,,False,False,False,,(701) 555-0100,(701) 555-0101,radha@tailspintoys.com,,,,1,2013-01-01 00:00:00,
58,1013,Kalidas Nadar,Kalidas,Kalidas Kalidas Nadar,False,NO LOGON,False,,False,False,False,,(423) 555-0100,(423) 555-0101,kalidas@tailspintoys.com,,,,1,2013-01-01 00:00:00,
59,1014,Filip Nedvidek,Filip,Filip Filip Nedvidek,False,NO LOGON,False,,False,False,False,,(423) 555-0100,(423) 555-0101,filip@tailspintoys.com,,,,1,2013-01-01 00:00:00,
60,1015,Kanti Kotadia,Kanti,Kanti Kanti Kotadia,False,NO LOGON,False,,False,False,False,,(303) 555-0100,(303) 555-0101,kanti@tailspintoys.com,,,,1,2013-01-01 00:00:00,
61,1016,Hoa Cu,Hoa,Hoa Hoa Cu,False,NO LOGON,False,,False,False,False,,(303) 555-0100,(303) 555-0101,hoa@tailspintoys.com,,,,1,2013-01-01 00:00:00,
62,1017,Sointu Aalto,Sointu,Sointu Sointu Aalto,False,NO LOGON,False,,False,False,False,,(201) 555-0100,(201) 555-0101,sointu@tailspintoys.com,,,,1,2013-01-01 00:00:00,
63,1018,Jae-Gon Min,Jae-Gon,Jae-Gon Jae-Gon Min,False,NO LOGON,False,,False,False,False,,(201) 555-0100,(201) 555-0101,jae-gon@tailspintoys.com,,,,1,2013-01-01 00:00:00,
64,1019,Siddhartha Parkar,Siddhartha,Siddhartha Siddhartha Parkar,False,NO LOGON,False,,False,False,False,,(701) 555-0100,(701) 555-0101,siddhartha@tailspintoys.com,,,,1,2013-01-01 00:00:00,
