,InvoiceID,CustomerID,BillToCustomerID,OrderID,DeliveryMethodID,ContactPersonID,AccountsPersonID,SalespersonPersonID,PackedByPersonID,InvoiceDate,CustomerPurchaseOrderNumber,IsCreditNote,CreditNoteReason,Comments,DeliveryInstructions,InternalComments,TotalDryItems,TotalChillerItems,DeliveryRun,RunPosition,ReturnedDeliveryData,ConfirmedDeliveryTime,ConfirmedReceivedBy,LastEditedBy,LastEditedWhen
10,68573,429,401,71547,3,2057,2001,8,11,2022-05-02,15860,False,,,"Shop 191, 435 Vladu Crescent",,4,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69623""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T07:55:00"",""ConNote"":""EAN-125-69623"",""DriverID"":12,""Latitude"":36.5922816,""Longitude"":-89.6153571,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T07:55:00"",""ReceivedBy"":""Fabio Pena""}",2016-05-03 07:55:00,Fabio Pena,12,2016-05-03 07:00:00
11,68574,116,1,71548,3,1231,1001,20,11,2022-05-02,14808,False,,,"Unit 129, 1268 Pakalapati Street",,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69624""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T08:00:00"",""ConNote"":""EAN-125-69624"",""DriverID"":12,""Latitude"":18.3997792,""Longitude"":-66.7908004,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T08:00:00"",""ReceivedBy"":""Toma Nastase""}",2016-05-03 08:00:00,Toma Nastase,12,2016-05-03 07:00:00
12,68575,897,897,71549,3,3097,3097,6,11,2022-05-02,16747,False,,,"Shop 26, 791 Lill Lane",,1,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69625""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T08:05:00"",""ConNote"":""EAN-125-69625"",""DriverID"":12,""Latitude"":44.1057973,""Longitude"":-94.2188494,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T08:05:00"",""ReceivedBy"":""Allan Mannik""}",2016-05-03 08:05:00,Allan Mannik,12,2016-05-03 07:00:00
13,68576,146,1,71550,3,1291,1001,14,11,2022-05-02,19398,False,,,"Suite 118, 469 Formanek Street",,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69626""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T08:10:00"",""ConNote"":""EAN-125-69626"",""DriverID"":12,""Latitude"":34.4748180,""Longitude"":-87.8664241,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T08:10:00"",""ReceivedBy"":""Aija Zvaigzne""}",2016-05-03 08:10:00,Aija Zvaigzne,12,2016-05-03 07:00:00
14,68577,864,864,71551,3,3064,3064,16,11,2022-05-02,10401,False,,,"Unit 3, 411 Ganguly Lane",,5,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69627""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T08:15:00"",""ConNote"":""EAN-125-69627"",""DriverID"":12,""Latitude"":47.2577003,""Longitude"":-91.3004437,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T08:15:00"",""ReceivedBy"":""Mikhail Degtyarev""}",2016-05-03 08:15:00,Mikhail Degtyarev,12,2016-05-03 07:00:00
15,68578,462,401,71552,3,2123,2001,3,11,2022-05-02,13871,False,,,"Unit 288, 1925 Ankitham Road",,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69628""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T08:20:00"",""ConNote"":""EAN-125-69628"",""DriverID"":12,""Latitude"":33.5123245,""Longitude"":-103.3396737,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T08:20:00"",""ReceivedBy"":""Avanti Nishad""}",2016-05-03 08:20:00,Avanti Nishad,12,2016-05-03 07:00:00
16,68579,580,401,71553,3,2359,2001,16,11,2022-05-02,15751,False,,,"Shop 55, 64 Jaramillo Avenue",,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69629""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T08:25:00"",""ConNote"":""EAN-125-69629"",""DriverID"":12,""Latitude"":40.7195095,""Longitude"":-79.7556061,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T08:25:00"",""ReceivedBy"":""Darakhshan Javaherian""}",2016-05-03 08:25:00,Darakhshan Javaherian,12,2016-05-03 07:00:00
17,68580,1044,1044,71554,3,3244,3244,20,11,2022-05-02,15014,False,,,"Shop 27, 835 Kamala Lane",,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69630""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T08:30:00"",""ConNote"":""EAN-125-69630"",""DriverID"":12,""Latitude"":30.0207608,""Longitude"":-92.1826264,""Comment"":""Receiver not present""}],""DeliveredWhen"":""2016-05-03T08:30:00"",""ReceivedBy"":""Hanita Nookala""}",2016-05-03 08:30:00,Hanita Nookala,12,2016-05-03 07:00:00
18,68581,180,1,71555,3,1359,1001,15,11,2022-05-02,14404,False,,,"Suite 206, 1839 Hadrabova Crescent",,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69631""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T08:35:00"",""ConNote"":""EAN-125-69631"",""DriverID"":12,""Latitude"":37.9191297,""Longitude"":-114.4852707,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T08:35:00"",""ReceivedBy"":""Serkan senturk""}",2016-05-03 08:35:00,Serkan senturk,12,2016-05-03 07:00:00
19,68582,5,1,71556,3,1009,1001,8,11,2022-05-02,11014,False,,,"Unit 176, 1674 Skujins Boulevard",,4,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69632""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T08:40:00"",""ConNote"":""EAN-125-69632"",""DriverID"":12,""Latitude"":43.1992244,""Longitude"":-78.5761394,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T08:40:00"",""ReceivedBy"":""Johanna Huiting""}",2016-05-03 08:40:00,Johanna Huiting,12,2016-05-03 07:00:00
20,68583,533,401,71557,3,2265,2001,3,11,2022-05-02,15435,False,,,"Shop 131, 880 Mannik Lane",,4,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69633""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T08:45:00"",""ConNote"":""EAN-125-69633"",""DriverID"":12,""Latitude"":35.5548377,""Longitude"":-97.5727124,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T08:45:00"",""ReceivedBy"":""Vanita Bhowmick""}",2016-05-03 08:45:00,Vanita Bhowmick,12,2016-05-03 07:00:00
21,68584,482,401,71558,3,2163,2001,16,11,2022-05-02,14948,False,,,"Unit 122, 1187 Baruah Crescent",,2,1,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69634""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T08:50:00"",""ConNote"":""EAN-125-69634"",""DriverID"":12,""Latitude"":42.0561853,""Longitude"":-77.0277448,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T08:50:00"",""ReceivedBy"":""Ravindra Sandhu""}",2016-05-03 08:50:00,Ravindra Sandhu,12,2016-05-03 07:00:00
22,68585,88,1,71559,3,1175,1001,2,11,2022-05-02,18263,False,,,"Shop 226, 609 Sidhu Crescent",,5,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69635""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T08:55:00"",""ConNote"":""EAN-125-69635"",""DriverID"":12,""Latitude"":42.6703687,""Longitude"":-71.3020052,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T08:55:00"",""ReceivedBy"":""Amarendra Ankitham""}",2016-05-03 08:55:00,Amarendra Ankitham,12,2016-05-03 07:00:00
23,68586,499,401,71560,3,2197,2001,16,11,2022-05-02,11669,False,,,"Shop 20, 1046 Saucier Road",,4,1,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69636""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T09:00:00"",""ConNote"":""EAN-125-69636"",""DriverID"":12,""Latitude"":39.8500679,""Longitude"":-82.1220868,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T09:00:00"",""ReceivedBy"":""Masa Buecek""}",2016-05-03 09:00:00,Masa Buecek,12,2016-05-03 07:00:00
24,68587,837,837,71561,3,3037,3037,13,11,2022-05-02,10945,False,,,"Shop 3, 747 Mihajlovik Boulevard",,5,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69637""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T09:05:00"",""ConNote"":""EAN-125-69637"",""DriverID"":12,""Latitude"":40.0056483,""Longitude"":-77.2069266,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T09:05:00"",""ReceivedBy"":""Anil Sarkar""}",2016-05-03 09:05:00,Anil Sarkar,12,2016-05-03 07:00:00
25,68588,828,828,71562,3,3028,3028,8,11,2022-05-02,18586,False,,,"Shop 23, 802 Mokkapati Road",,4,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69638""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T09:10:00"",""ConNote"":""EAN-125-69638"",""DriverID"":12,""Latitude"":39.9861415,""Longitude"":-88.2589387,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T09:10:00"",""ReceivedBy"":""Sercan Celik""}",2016-05-03 09:10:00,Sercan Celik,12,2016-05-03 07:00:00
26,68589,854,854,71563,3,3054,3054,20,11,2022-05-02,11892,False,,,"Unit 14, 987 Nadar Boulevard",,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69639""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T09:15:00"",""ConNote"":""EAN-125-69639"",""DriverID"":12,""Latitude"":30.5796601,""Longitude"":-82.9393020,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T09:15:00"",""ReceivedBy"":""Daakshaayaani Kommineni""}",2016-05-03 09:15:00,Daakshaayaani Kommineni,12,2016-05-03 07:00:00
27,68590,571,401,71564,3,2341,2001,2,11,2022-05-02,16802,False,,,"Unit 55, 279 Flamand Boulevard",,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69640""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T09:20:00"",""ConNote"":""EAN-125-69640"",""DriverID"":12,""Latitude"":43.3467400,""Longitude"":-73.1762182,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T09:20:00"",""ReceivedBy"":""Dana Mrazova""}",2016-05-03 09:20:00,Dana Mrazova,12,2016-05-03 07:00:00
28,68591,524,401,71565,3,2247,2001,2,11,2022-05-02,17556,False,,,"Unit 271, 336 Kasesalu Lane",,3,1,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69641""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T09:25:00"",""ConNote"":""EAN-125-69641"",""DriverID"":12,""Latitude"":46.7216102,""Longitude"":-92.4593566,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T09:25:00"",""ReceivedBy"":""Baalaamani Veturi""}",2016-05-03 09:25:00,Baalaamani Veturi,12,2016-05-03 07:00:00
29,68592,853,853,71566,3,3053,3053,14,11,2022-05-02,11377,False,,,"Suite 13, 1278 Lam Street",,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69642""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T09:30:00"",""ConNote"":""EAN-125-69642"",""DriverID"":12,""Latitude"":56.9455556,""Longitude"":-154.1702778,""Comment"":""Receiver not present""}],""DeliveredWhen"":""2016-05-03T09:30:00"",""ReceivedBy"":""Caterina Pinto""}",2016-05-03 09:30:00,Caterina Pinto,12,2016-05-03 07:00:00
30,68593,82,1,71567,3,1163,1001,6,11,2022-05-02,15382,False,,,"Suite 166, 1708 Ankitham Street",,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69643""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T09:35:00"",""ConNote"":""EAN-125-69643"",""DriverID"":12,""Latitude"":35.9417050,""Longitude"":-105.2491779,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T09:35:00"",""ReceivedBy"":""Rakesh Nishad""}",2016-05-03 09:35:00,Rakesh Nishad,12,2016-05-03 07:00:00
31,68594,954,954,71568,3,3154,3154,20,11,2022-05-02,14578,False,,,"Suite 12, 588 Cirulis Lane",,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69644""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T09:40:00"",""ConNote"":""EAN-125-69644"",""DriverID"":12,""Latitude"":30.4099215,""Longitude"":-86.6630098,""Comment"":""Receiver not present""}],""DeliveredWhen"":""2016-05-03T09:40:00"",""ReceivedBy"":""Nasrin Omidzadeh""}",2016-05-03 09:40:00,Nasrin Omidzadeh,12,2016-05-03 07:00:00
32,68595,916,916,71569,3,3116,3116,14,11,2022-05-02,19965,False,,,"Shop 26, 660 Mottola Avenue",,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69645""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T09:45:00"",""ConNote"":""EAN-125-69645"",""DriverID"":12,""Latitude"":40.8294461,""Longitude"":-95.9916752,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T09:45:00"",""ReceivedBy"":""Pinja Jantunen""}",2016-05-03 09:45:00,Pinja Jantunen,12,2016-05-03 07:00:00
33,68596,510,401,71570,3,2219,2001,7,11,2022-05-02,19140,False,,,"Suite 187, 1015 Chowdary Boulevard",,4,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69646""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T09:50:00"",""ConNote"":""EAN-125-69646"",""DriverID"":12,""Latitude"":41.2108829,""Longitude"":-84.9669112,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T09:50:00"",""ReceivedBy"":""Manish Ghosh""}",2016-05-03 09:50:00,Manish Ghosh,12,2016-05-03 07:00:00
34,68597,960,960,71571,3,3160,3160,13,11,2022-05-02,10198,False,,,"Shop 6, 1317 Desforges Street",,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69647""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T09:55:00"",""ConNote"":""EAN-125-69647"",""DriverID"":12,""Latitude"":33.3508667,""Longitude"":-115.7297152,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T09:55:00"",""ReceivedBy"":""Edgar Jogi""}",2016-05-03 09:55:00,Edgar Jogi,12,2016-05-03 07:00:00
35,68598,552,401,71572,3,2303,2001,15,11,2022-05-02,10769,False,,,"Suite 140, 1587 Olofsson Boulevard",,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69648""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T10:00:00"",""ConNote"":""EAN-125-69648"",""DriverID"":12,""Latitude"":40.7364533,""Longitude"":-79.4547654,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T10:00:00"",""ReceivedBy"":""Noel Cartier""}",2016-05-03 10:00:00,Noel Cartier,12,2016-05-03 07:00:00
36,68599,502,401,71573,3,2203,2001,7,11,2022-05-02,15595,False,,,"Shop 156, 1785 Narkbunnum Road",,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69649""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T10:05:00"",""ConNote"":""EAN-125-69649"",""DriverID"":12,""Latitude"":44.6005227,""Longitude"":-92.8129802,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T10:05:00"",""ReceivedBy"":""Alejandro Escobar""}",2016-05-03 10:05:00,Alejandro Escobar,12,2016-05-03 07:00:00
37,68600,983,983,71574,3,3183,3183,7,11,2022-05-02,15286,False,,,"Unit 27, 767 Jun Avenue",,2,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69650""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T10:10:00"",""ConNote"":""EAN-125-69650"",""DriverID"":12,""Latitude"":34.2406665,""Longitude"":-94.3349306,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T10:10:00"",""ReceivedBy"":""Sabine Alksne""}",2016-05-03 10:10:00,Sabine Alksne,12,2016-05-03 07:00:00
38,68601,842,842,71575,3,3042,3042,15,11,2022-05-02,11580,False,,,"Suite 20, 1104 Podnieks Road",,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69651""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T10:15:00"",""ConNote"":""EAN-125-69651"",""DriverID"":12,""Latitude"":47.3330045,""Longitude"":-93.7927173,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T10:15:00"",""ReceivedBy"":""Biju Deb""}",2016-05-03 10:15:00,Biju Deb,12,2016-05-03 07:00:00
39,68602,148,1,71576,3,1295,1001,15,11,2022-05-02,12205,False,,,"Unit 170, 1951 Rozitis Lane",,3,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69652""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T10:20:00"",""ConNote"":""EAN-125-69652"",""DriverID"":12,""Latitude"":43.4710944,""Longitude"":-89.7442907,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T10:20:00"",""ReceivedBy"":""Marcella Napolitani""}",2016-05-03 10:20:00,Marcella Napolitani,12,2016-05-03 07:00:00
40,68603,81,1,71577,3,1161,1001,14,11,2022-05-02,10310,False,,,"Suite 157, 274 Poddar Lane",,5,0,,,"{""Events"": [{ ""Event"":""Ready for collection"",""EventTime"":""2016-05-02T12:00:00"",""ConNote"":""EAN-125-69653""},{ ""Event"":""DeliveryAttempt"",""EventTime"":""2016-05-03T10:25:00"",""ConNote"":""EAN-125-69653"",""DriverID"":12,""Latitude"":43.8183991,""Longitude"":-74.9151774,""Status"":""Delivered""}],""DeliveredWhen"":""2016-05-03T10:25:00"",""ReceivedBy"":""Vera Kubatova""}",2016-05-03 10:25:00,Vera Kubatova,12,2016-05-03 07:00:00
